correlation,cpu_duration,gpu_duration,launch_delay
9754,3.0,1.0,3.0
9762,3.0,3.0,3.0
9772,3.0,2.0,4.0
9786,3.0,0.0,4.0
9798,4.0,1.0,3.0
9810,3.0,0.0,4.0
9821,3.0,0.0,3.0
9829,3.0,3.0,4.0
9839,3.0,3.0,3.0
9852,3.0,0.0,3.0
9864,3.0,0.0,3.0
9880,2.0,2.0,4.0
9912,2.0,0.0,3.0
9924,3.0,2.0,3.0
9940,3.0,0.0,4.0
9954,3.0,0.0,4.0
9972,2.0,0.0,4.0
10001,2.0,3.0,4.0
10011,3.0,3.0,3.0
10021,3.0,2.0,4.0
10043,3.0,1.0,3.0
10057,4.0,2.0,3.0
10068,2.0,0.0,4.0
10086,2.0,0.0,4.0
10097,4.0,0.0,3.0
10108,3.0,1.0,3.0
10119,2.0,0.0,4.0
10127,3.0,3.0,3.0
10137,3.0,3.0,3.0
10151,3.0,1.0,4.0
10163,3.0,0.0,4.0
10175,2.0,0.0,4.0
10186,2.0,0.0,4.0
10194,3.0,4.0,3.0
10204,3.0,3.0,3.0
10217,3.0,0.0,4.0
10229,2.0,0.0,4.0
10245,4.0,2.0,3.0
10277,4.0,0.0,3.0
10289,3.0,2.0,3.0
10305,3.0,0.0,3.0
10319,3.0,0.0,4.0
10337,3.0,1.0,3.0
10370,9.0,3.0,3.0
10380,4.0,3.0,3.0
10390,4.0,2.0,3.0
10412,4.0,0.0,3.0
10426,4.0,2.0,3.0
10437,4.0,0.0,3.0
10455,5.0,1.0,3.0
10466,4.0,0.0,3.0
10477,4.0,0.0,3.0
10488,3.0,0.0,4.0
10496,4.0,3.0,3.0
10506,3.0,3.0,3.0
10520,5.0,0.0,3.0
10532,3.0,0.0,4.0
10548,5.0,1.0,2.0
10559,3.0,0.0,3.0
10567,4.0,3.0,3.0
10577,6.0,3.0,3.0
10590,4.0,0.0,3.0
10602,5.0,0.0,3.0
10618,4.0,3.0,3.0
10650,4.0,0.0,3.0
10662,3.0,3.0,3.0
10678,5.0,0.0,3.0
10689,3.0,0.0,3.0
10703,5.0,0.0,3.0
10725,6.0,1.0,3.0
10733,6.0,2.0,3.0
10743,3.0,3.0,3.0
10753,3.0,2.0,4.0
10772,4.0,3.0,3.0
10782,3.0,2.0,6.0
10798,6.0,1.0,2.0
10812,3.0,1.0,3.0
10843,5.0,0.0,3.0
10855,4.0,2.0,3.0
10871,6.0,0.0,2.0
10889,6.0,7.0,3.0
10910,295.0,16.0,2.0
10921,6.0,2.0,4.0
10934,73.0,4.0,3.0
10947,4.0,3.0,3.0
10959,3.0,4.0,4.0
10972,2.0,3.0,3.0
10984,7.0,15.0,1.0
10998,4.0,16.0,3.0
11014,7.0,0.0,3.0
11028,4.0,0.0,3.0
11037,1003.0,84.0,1.0
11045,57.0,91.0,3.0
11054,52.0,5.0,3.0
11064,4.0,3.0,3.0
11078,4.0,5.0,3.0
11092,4.0,3.0,3.0
11106,6.0,4.0,4.0
11120,3.0,3.0,4.0
11135,1669.0,1.0,0.0
11143,8.0,4.0,2.0
11157,4.0,4.0,2.0
11171,3.0,2.0,4.0
11185,21.0,0.0,3.0
11193,4.0,3.0,3.0
11207,3.0,5.0,3.0
11221,3.0,3.0,3.0
11235,3.0,4.0,3.0
11249,3.0,3.0,3.0
11262,3.0,1.0,3.0
11270,3.0,3.0,3.0
11284,3.0,3.0,3.0
11298,5.0,3.0,3.0
11311,3.0,1.0,3.0
11319,3.0,2.0,4.0
11333,2.0,4.0,4.0
11347,3.0,3.0,4.0
11361,2.0,3.0,4.0
11375,2.0,2.0,4.0
11388,3.0,0.0,2.0
11396,3.0,3.0,4.0
11410,2.0,3.0,3.0
11424,2.0,2.0,4.0
11437,2.0,0.0,4.0
11445,2.0,3.0,4.0
11459,3.0,4.0,3.0
11473,2.0,3.0,4.0
11487,3.0,2.0,4.0
11501,3.0,3.0,3.0
11514,2.0,1.0,3.0
11522,3.0,3.0,3.0
11536,3.0,3.0,3.0
11550,3.0,2.0,4.0
11563,2.0,1.0,3.0
11571,2.0,2.0,4.0
11585,3.0,4.0,3.0
11599,3.0,3.0,4.0
11613,2.0,3.0,4.0
11627,2.0,2.0,4.0
11640,3.0,0.0,3.0
11648,3.0,2.0,4.0
11662,2.0,2.0,4.0
11676,2.0,2.0,4.0
11689,3.0,1.0,3.0
11697,2.0,2.0,4.0
11711,4.0,4.0,3.0
11725,3.0,4.0,3.0
