correlation,cpu_duration,gpu_duration,launch_delay
15828,5.0,3.0,78539.0
15845,4.0,0.0,78491.0
15860,5.0,1.0,78472.0
15875,3.0,1.0,78457.0
15895,4.0,1.0,78417.0
15906,5.0,13.0,78388.0
15916,4.0,2.0,78379.0
15927,4.0,0.0,78352.0
15941,4.0,1.0,78317.0
15968,4.0,0.0,78287.0
15976,4.0,8.0,78279.0
15981,3.0,2.0,78282.0
15996,4.0,1.0,78250.0
16004,3.0,3.0,78240.0
16021,4.0,1.0,78204.0
16036,5.0,0.0,78175.0
16051,3.0,1.0,78159.0
16071,4.0,0.0,78124.0
16082,5.0,1.0,78097.0
16086,4.0,144.0,78090.0
16096,3.0,2.0,78216.0
16107,4.0,0.0,78130.0
16121,3.0,2.0,78098.0
16134,3.0,8.0,78086.0
16144,18.0,1.0,78051.0
16151,4.0,2.0,78040.0
16168,19.0,1.0,77987.0
16183,4.0,0.0,77966.0
16198,3.0,1.0,77950.0
16214,5.0,166.0,77915.0
16224,3.0,2.0,78063.0
16239,5.0,1.0,77866.0
16253,5.0,0.0,77816.0
16268,3.0,0.0,77801.0
16284,5.0,105.0,77764.0
16294,4.0,1.0,77851.0
16309,6.0,1.0,77683.0
16320,6.0,1.0,77636.0
16334,5.0,0.0,77497.0
16349,3.0,0.0,77480.0
16365,4.0,104.0,77444.0
16375,2.0,1.0,77532.0
16403,15.0,0.0,77122.0
16424,4.0,0.0,77094.0
16428,10.0,3.0,77069.0
16440,8.0,0.0,77060.0
16442,1.0,0.0,77061.0
16450,4.0,2.0,77051.0
16454,5.0,0.0,77047.0
16458,7.0,0.0,77040.0
16460,4.0,11.0,77035.0
16464,3.0,0.0,77043.0
16466,3.0,10.0,77040.0
16470,4.0,1.0,77046.0
16472,3.0,7.0,77045.0
16476,3.0,0.0,77048.0
16478,2.0,8.0,77046.0
16484,4.0,2.0,77049.0
16486,2.0,2.0,77049.0
16488,4.0,2.0,77047.0
16490,3.0,0.0,77046.0
16504,7.0,0.0,76989.0
16522,27.0,83.0,0.0
16537,10.0,1.0,1.0
16565,13.0,244.0,2.0
16599,19.0,1.0,255568.0
16614,6.0,0.0,255539.0
16629,5.0,393.0,255522.0
16653,11.0,0.0,255621.0
16664,8.0,22.0,255662.0
16678,10.0,1.0,254157.0
16693,4.0,0.0,254134.0
16716,7.0,0.0,254061.0
16727,5.0,10.0,253966.0
16741,5.0,1.0,253799.0
16756,3.0,0.0,253783.0
16769,5.0,2.0,253739.0
16786,4.0,0.0,253695.0
16801,20.0,1.0,253229.0
16815,11.0,0.0,251502.0
16830,4.0,1.0,251481.0
16846,9.0,25.0,251383.0
16856,6.0,9.0,251374.0
16867,5.0,5.0,251338.0
16896,8.0,11.0,250089.0
16910,6.0,0.0,249353.0
16925,3.0,0.0,249335.0
16945,5.0,1.0,249279.0
16956,13.0,8.0,249243.0
16966,4.0,3.0,249227.0
16977,5.0,2.0,249191.0
17006,5.0,4.0,249145.0
17020,4.0,0.0,249107.0
17035,4.0,0.0,249091.0
17055,4.0,2.0,249060.0
17066,6.0,7.0,249037.0
17076,3.0,2.0,249030.0
17091,7.0,0.0,248806.0
17120,21.0,3.0,248740.0
17134,6.0,0.0,248655.0
17149,3.0,1.0,248637.0
17169,4.0,1.0,248597.0
17182,7.0,6.0,248541.0
17192,3.0,2.0,248524.0
17203,4.0,0.0,248499.0
17217,4.0,1.0,248465.0
17232,4.0,1.0,248426.0
17252,5.0,1.0,248384.0
17263,4.0,13.0,248361.0
17273,3.0,2.0,248356.0
17284,5.0,0.0,248091.0
17298,6.0,2.0,248006.0
17329,6.0,1.0,247799.0
17337,5.0,2.0,247789.0
17342,4.0,1.0,247783.0
17357,3.0,1.0,247722.0
17365,5.0,3.0,247709.0
17382,5.0,0.0,247664.0
17397,3.0,0.0,247649.0
17412,3.0,1.0,247633.0
17432,4.0,1.0,247598.0
17443,6.0,13.0,247566.0
17453,4.0,2.0,247558.0
17464,4.0,0.0,247526.0
17478,15.0,1.0,247468.0
17505,4.0,0.0,247436.0
17513,4.0,8.0,247428.0
17518,3.0,2.0,247430.0
17533,12.0,1.0,245807.0
17541,6.0,3.0,245788.0
17558,12.0,1.0,245486.0
17573,5.0,1.0,245453.0
17588,3.0,1.0,245436.0
17608,4.0,1.0,245387.0
17619,7.0,1.0,245347.0
17623,6.0,143.0,245336.0
17633,6.0,2.0,245444.0
